PathID,PathName,SWCType,PrimaryPath,PathLength,PathLengthUnits,StartsOnPath,ConnectedPathIDs,ChildPathIDs,StartX,StartY,StartZ,EndX,EndY,EndZ,ApproximateFittedVolume
14,"Path (14)",undefined,true,176.9412657886747,µm,,,,329.03505264560846,349.265055882409,232.04999999999998,466.480074636812,241.5700386512062,253.47,NaN
15,"Path (15)",undefined,true,210.45291229881587,µm,,,,323.0850516936083,350.455056072809,223.72,486.71007787361253,222.5300356048057,248.70999999999998,NaN
16,"Path (16)",undefined,true,242.27098347424987,µm,,,,323.0850516936083,348.07505569200896,217.76999999999998,511.70008187201313,199.92003198720514,242.76,NaN
17,"Path (17)",undefined,true,238.72475451462768,µm,,,,319.51505112240824,344.50505512080883,208.25,498.61007977761284,195.16003122560502,238.0,NaN
18,"Path (18)",undefined,true,232.29152324384737,µm,,,,321.89505150320826,345.6950553112089,209.44,497.4200795872128,197.54003160640508,229.67,NaN
19,"Path (19)",undefined,true,218.70098273100905,µm,,,,319.51505112240824,346.8850555016089,216.57999999999998,486.71007787361253,207.06003312960533,226.1,NaN
20,"Path (20)",undefined,true,216.38129198508605,µm,,,,320.7050513128082,345.6950553112089,207.06,484.33007749281245,207.06003312960533,226.1,NaN
21,"Path (21)",undefined,true,224.82265756039914,µm,,,,321.89505150320826,345.6950553112089,216.57999999999998,489.09007825441256,198.7300317968051,228.48,NaN
22,"Path (22)",undefined,true,216.17380652183948,µm,,,,323.0850516936083,343.31505493040885,215.39,481.95007711201237,203.49003255840523,223.72,NaN
23,"Path (23)",undefined,true,243.84298643419862,µm,,,,323.0850516936083,344.50505512080883,220.14999999999998,500.99008015841287,180.88002894080464,222.53,NaN
24,"Path (24)",undefined,true,239.1003718307653,µm,,,,321.89505150320826,345.6950553112089,216.57999999999998,493.85007901601267,184.45002951200473,223.72,NaN
25,"Path (25)",undefined,true,246.9173143468295,µm,,,,326.6550522648084,346.8850555016089,216.57999999999998,502.1800803488129,176.12002817920452,221.34,NaN
26,"Path (26)",undefined,true,234.6695443692039,µm,,,,325.4650520744084,340.93505454960876,216.57999999999998,496.23007939681276,180.88002894080464,217.76999999999998,NaN
27,"Path (27)",undefined,true,238.66453546156765,µm,,,,319.51505112240824,345.6950553112089,216.57999999999998,487.9000780640125,182.07002913120468,216.57999999999998,NaN
28,"Path (28)",undefined,true,229.2040865598465,µm,,,,323.0850516936083,345.6950553112089,216.57999999999998,492.6600788256127,192.78003084480494,222.53,NaN
29,"Path (29)",undefined,true,234.0054835083331,µm,,,,323.0850516936083,348.07505569200896,220.14999999999998,497.4200795872128,195.16003122560502,239.19,NaN
30,"Path (30)",undefined,true,250.0750844200839,µm,,,,329.03505264560846,354.0250566440091,235.61999999999998,506.940081110413,180.88002894080464,241.57,NaN
31,"Path (31)",undefined,true,236.92103960819975,µm,,,,333.79505340720857,350.455056072809,236.81,505.750080920013,190.40003046400489,242.76,NaN
32,"Path (32)",undefined,true,248.0520129086863,µm,,,,329.03505264560846,355.21505683440915,238.0,510.51008168161314,188.02003008320483,240.38,NaN
33,"Path (33)",undefined,true,233.27717131138746,µm,,,,332.6050532168085,362.3550579768093,236.81,500.99008015841287,201.11003217760518,239.19,NaN
34,"Path (34)",undefined,true,251.48359081584917,µm,,,,337.3650539784087,361.1650577864093,230.85999999999999,514.0800822528132,184.45002951200473,233.23999999999998,NaN
35,"Path (35)",undefined,true,249.23692280014146,µm,,,,340.93505454960876,362.3550579768093,228.48,514.0800822528132,185.64002970240477,239.19,NaN
36,"Path (36)",undefined,true,252.96425023199916,µm,,,,343.31505493040885,362.3550579768093,224.91,523.6000837760134,186.8300298928048,233.23999999999998,NaN
37,"Path (37)",undefined,true,256.8410793224589,µm,,,,339.7450543592087,363.54505816720933,226.1,523.6000837760134,188.02003008320483,236.81,NaN
38,"Path (38)",undefined,true,270.43312752870145,µm,,,,340.93505454960876,363.54505816720933,221.34,531.9300851088136,174.93002798880448,232.04999999999998,NaN
39,"Path (39)",undefined,true,273.1334820441141,µm,,,,339.7450543592087,363.54505816720933,220.14999999999998,530.7400849184137,172.55002760800443,235.61999999999998,NaN
40,"Path (40)",undefined,true,286.58280044992824,µm,,,,337.3650539784087,365.9250585480094,221.34,535.5000856800137,161.84002589440416,232.04999999999998,NaN
41,"Path (41)",undefined,true,298.92046011308594,µm,,,,345.6950553112089,363.54505816720933,233.23999999999998,547.400087584014,149.94002399040386,224.91,NaN
